NodeID,Count
"node_18_1533792956024",1
"node_22_1533774980599",4
"node_26_1533775851592",1
"slot_13_1533519758344",4
"node_5_1533791755627",1
"node_1_1531442055604",11
"node_21_1533521123010",2
"node_6_1531187598454",2
"node_40_1533524045648",3
"node_69_1533527126676",3
"node_47_1533527126674",7
"node_10_1533792547640",4
"node_12_1533603603903",1
"handler_2_1531187331247",2
"node_10_1533532926997",4
"node_7_1533615021241",2
"slot_97_1533528557211",3
"node_1_1533619663004",4
"node_3_1531196249262",2
"node_49_1528940672459",3
"node_11_1533773684407",3
"node_15_1533603920358",4
"node_73_1533527126676",2
"node_23_1533774980599",1
"node_23_1533540412203",4
"node_13_1531310034515",5
"handler_10_1531122285019",2
"node_1_1533791642523",2
"node_5_1531108952404",1
"node_20_1530856468007",6
"node_13_1531640509237",4
"node_37_1533523957452",2
"node_26_1530857992295",1
"node_2_1533792049903",2
"handler_71_1533527126676",2
"node_2_1531698632145",1
"node_1_1531196119261",2
"node_8_1533281269704",2
"handler_22_1531182946120",2
"node_14_1533781206093",5
"node_50_1533527126676",2
"node_3_1533623635768",2
"node_10_1533603302796",5
"node_1_1533271983609",2
"node_4_1533778775619",2
"node_27_1530858313249",1
"node_4_1533624430006",8
"node_8_1533792336107",2
"node_9_1533603223656",1
"node_3_1531098948040",2
"node_94_1533528557211",1
"node_9_1533532063298",2
"node_5_1533531763909",1
"node_3_1530074318484",2
"slot_70_1533527126676",3
"node_11_1531309913788",2
"node_89_1533528557211",3
"node_6_1533614985729",4
"handler_99_1533528557211",1
"node_12_1531640477759",4
"node_39_1533523971884",1
"node_68_1533527126676",9
"handler_6_1530074318496",2
"node_9_1533519567851",1
"node_9_1533616071758",2
"node_2_1533606212545",4
"node_7_1531309651291",1
"node_29_1530861284228",16
"node_10_1533621075534",4
"node_12_1533618163445",1
"node_1_1533613078334",3
"node_9_1533620973244",7
"node_45_1533524097628",1
"node_61_1533527126676",2
"node_43_1533524045648",2
"node_4_1533792049903",1
"node_6_1531309545950",4
"node_19_1533521123009",8
"handler_15_1533519758344",1
"node_7_1533620058214",1
"handler_9_1530074480260",1
"node_87_1533528557211",2
"node_20_1533521123010",2
"node_4_1533614839282",6
"node_30_1530861681245",2
"node_6_1533601509330",2
"Anything else",1
"node_3_1531699644654",3
"node_2_1531184713568",2
"node_5_1533606722017",2
"node_15_1531294643417",2
"node_2_1530840837239",4
"node_1_1533792049902",5
"node_11_1533618067296",2
"node_1_1531184705377",1
"slot_21_1531182946120",4
"node_4_1531700552251",1
"node_18_1530854653578",4
"node_54_1533527126676",2
"Welcome",2
"node_5_1530852780540",2
"node_32_1533523046612",2
"node_15_1533792770522",3
"node_48_1533527126676",9
"node_12_1531309920021",1
"node_14_1531294530235",5
"node_1_1531093538259",3
"node_51_1533527126676",2
"node_1_1533600517063",6
"node_2_1533515824211",9
"node_67_1533527126676",1
"node_1_1533275234077",2
"node_55_1533527126676",2
"node_14_1533539295934",3
"node_4_1530852667397",5
"node_88_1533528557211",2
"node_19_1533622572224",5
"handler_14_1533519758344",2
"node_2_1533773624769",1
"node_14_1530854160397",5
"node_57_1533527126676",1
"node_13_1533518085541",4
"node_24_1533522202100",3
"node_3_1533777980308",1
"node_6_1530852904568",1
"node_14_1531640647169",2
"node_8_1533617976818",6
"node_56_1533527126676",1
"node_13_1533792673107",1
"node_7_1533617578129",1
"node_10_1531309787882",4
"node_10_1531638910390",2
"node_15_1530854314846",7
"node_1_1531101161206",2
"node_58_1533527126676",13
"node_16_1533622311594",2
"node_44_1533524045648",1
"node_13_1531294476182",5
"handler_3_1533530227072",1
"node_2_1533614752529",5
"node_34_1533523353353",3
"node_2_1533600569479",2
"node_4_1533619771373",1
"node_95_1533528557211",9
"node_2_1533779402927",2
"node_28_1530860868107",5
"node_13_1533534935077",3
"node_6_1533792148600",4
"node_1_1533614711442",7
"node_8_1533773669695",1
